"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31-12-2023","12.7270","12.7270","12.7270","12.7270","","0.00%"
"29-12-2023","12.7270","12.5704","12.7615","12.5251","","1.25%"
"28-12-2023","12.5704","12.7812","12.8245","12.5700","","-1.65%"
"27-12-2023","12.7812","12.8315","12.8671","12.7747","","-0.39%"
"26-12-2023","12.8315","12.8565","12.8666","12.7891","","-0.19%"
"25-12-2023","12.8565","12.8973","12.9180","12.8449","","-0.32%"
"24-12-2023","12.8973","12.8973","12.8973","12.8973","","0.00%"
"22-12-2023","12.8973","12.9078","12.9381","12.8472","","-0.08%"
"21-12-2023","12.9078","12.7465","12.9543","12.6569","","1.27%"
"20-12-2023","12.7465","12.6709","12.7474","12.6225","","0.60%"
"19-12-2023","12.6709","12.6237","12.6920","12.5579","","0.37%"
"18-12-2023","12.6237","12.6820","12.7147","12.5947","","-0.46%"
"17-12-2023","12.6820","12.6820","12.6820","12.6820","","0.00%"
"15-12-2023","12.6820","12.6404","12.7219","12.5841","","0.33%"
"14-12-2023","12.6404","12.5488","12.6772","12.5252","","0.73%"
"13-12-2023","12.5488","12.5404","12.5541","12.4867","","0.07%"
"12-12-2023","12.5404","12.6380","12.6412","12.5279","","-0.77%"
"11-12-2023","12.6380","12.8239","12.8305","12.6054","","-1.45%"
"10-12-2023","12.8239","12.8239","12.8239","12.8239","","0.00%"
"08-12-2023","12.8239","12.8793","12.9203","12.6957","","-0.43%"
"07-12-2023","12.8793","12.9645","13.0611","12.8762","","-0.66%"
"06-12-2023","12.9645","12.9107","13.0388","12.8443","","0.42%"
"05-12-2023","12.9107","12.7297","12.9567","12.7225","","1.42%"
"04-12-2023","12.7297","12.6623","12.7677","12.6576","","0.53%"
"03-12-2023","12.6623","12.6623","12.6623","12.6623","","0.00%"
"01-12-2023","12.6623","12.5349","12.6683","12.4870","","1.02%"
"30-11-2023","12.5349","12.4177","12.5580","12.3984","","0.94%"
"29-11-2023","12.4177","12.5138","12.5633","12.3976","","-0.77%"
"28-11-2023","12.5138","12.4152","12.5138","12.3775","","0.79%"
"27-11-2023","12.4152","12.3922","12.4460","12.3454","","0.19%"
"26-11-2023","12.3922","12.3922","12.3922","12.3922","","0.00%"
"24-11-2023","12.3922","12.3688","12.4843","12.3481","","0.19%"
"23-11-2023","12.3688","12.3457","12.3845","12.3130","","0.19%"
"22-11-2023","12.3457","12.3106","12.3764","12.2955","","0.29%"
"21-11-2023","12.3106","12.3304","12.3903","12.2827","","-0.16%"
"20-11-2023","12.3304","12.4794","12.5441","12.2793","","-1.19%"
"19-11-2023","12.4794","12.4794","12.4794","12.4794","","0.00%"
"17-11-2023","12.4794","12.3089","12.5278","12.2795","","1.38%"
"16-11-2023","12.3089","12.3444","12.3444","12.2222","","-0.29%"
"15-11-2023","12.3444","12.4901","12.5162","12.2593","","-1.17%"
"14-11-2023","12.4901","12.5691","12.6003","12.4223","","-0.63%"
"13-11-2023","12.5691","12.6613","12.6732","12.5552","","-0.73%"
"12-11-2023","12.6613","12.6613","12.6613","12.6613","","0.00%"
"10-11-2023","12.6613","12.6360","12.6650","12.6120","","0.20%"
"09-11-2023","12.6360","12.6391","12.6522","12.5956","","-0.02%"
"08-11-2023","12.6391","12.6733","12.7058","12.6048","","-0.27%"
"07-11-2023","12.6733","12.7083","12.7683","12.6565","","-0.28%"
"06-11-2023","12.7083","12.6584","12.7263","12.6509","","0.39%"
